"route","hab","apr_may","year","y"
"1",1,"Op",7.9115,8,36
"2",2,"Co",7.476,7,33
"3",2,"Co",6.69135,6,34
"4",3,"Urb",6.48425,6,64
"5",3,"Urb",7.83485,8,38
"6",4,"Co",7.1499,7,39
"7",5,"Urb",5.93615,6,14
"8",5,"Urb",6.90865,7,25
"9",5,"Urb",7.39365,8,15
"10",5,"Urb",6.7879,9,13
"11",6,"Urb",6.91905,9,20
"12",6,"Urb",7.10005,8,19
"13",7,"Co",7.5569,8,31
"14",8,"Co",7.64285,8,34
"15",8,"Co",6.81515,9,42
"16",9,"Co",8.20115,8,27
"17",10,"Co",7.78685,7,14
"18",10,"Co",7.733,9,12
"19",11,"Co",8.15665,8,32
"20",11,"Co",6.849,6,24
"21",12,"Urb",7.649,9,9
"22",12,"Urb",7.12785,6,18
"23",12,"Urb",8.41165,8,11
"24",12,"Urb",8.03015,7,24
"25",13,"Co",6.8825,6,19
"26",13,"Co",7.55665,9,28
"27",13,"Co",7.94415,7,60
"28",14,"Urb",8.23035,7,18
"29",15,"Co",6.43355,6,35
"30",15,"Co",7.80715,8,20
"31",16,"Co",6.2943,6,90
"32",17,"Urb",7.48035,9,38
"33",18,"Co",5.88295,8,21
"34",19,"Br",7.26665,9,21
"35",19,"Br",7.1486,8,14
"36",20,"Urb",7.11585,9,17
"37",20,"Urb",7.1826,8,18
"38",21,"Op",6.69285,8,22
"39",22,"Op",6.91695,8,21
"40",23,"Urb",8.53585,8,5
"41",23,"Urb",8.00535,9,3
"42",24,"Urb",8.11335,8,18
"43",25,"Co",7.11865,6,53
"44",26,"Co",7.34235,7,61
"45",26,"Co",7.5375,9,24
"46",27,"Co",7.36865,7,30
"47",28,"Urb",6.97515,6,30
"48",29,"Br",6.831,6,22
"49",30,"Co",8.16735,8,54
"50",31,"Br",6.872,6,57
"51",31,"Br",7.34165,9,37
"52",32,"Br",6.89215,6,65
"53",33,"Co",6.5422,6,50
"54",34,"Co",7.35865,9,33
"55",35,"Co",7.05635,6,46
"56",35,"Co",7.6445,9,40
"57",36,"Co",6.9815,6,35
"58",37,"Urb",7.58765,9,16
"59",38,"Urb",6.8365,6,30
"60",39,"Br",7.00565,6,47
"61",40,"Urb",7.215,6,24
"62",40,"Urb",7.75185,9,15
"63",41,"Urb",7.70415,9,21
"64",41,"Urb",7.97385,8,27
"65",42,"Urb",7.4197,8,19
"66",43,"Urb",7.69415,9,11
"67",44,"Urb",7.38065,7,25
"68",45,"Co",7.7758,8,39
"69",46,"Br",7.4118,8,40
"70",47,"Urb",7.72065,8,41
"71",48,"Co",7.78235,7,42
"72",48,"Co",7.19315,6,39
"73",49,"Co",7.71185,9,28
"74",49,"Co",7.38965,6,44
"75",50,"Co",7.253,6,70
"76",51,"Co",6.4023,6,41
"77",51,"Co",7.2368,8,21
"78",52,"Co",7.69935,9,41
