"site","x_site","y_site","or_site","size_site","hab_site","temp_site"
"1",1,5028.6,4167.9,13,1,"Open",7.9115
"2",2,5052.3,4171.7,14,2,"Coniferus",7.083675
"3",3,5077.6,4178,15,2,"Urban",7.15955
"4",4,5101.1,4183.9,16,1,"Coniferus",7.1499
"5",5,5125.9,4190.1,17,3,"Urban",6.74615
"6",6,4876.6,4153.3,20,1,"Urban",7.10005
"7",7,4975.9,4176.3,24,1,"Coniferus",7.5569
"8",8,4998.1,4181.9,25,1,"Coniferus",7.64285
"9",9,5024.1,4189.4,26,1,"Coniferus",8.20115
"10",10,5046.4,4196.3,27,1,"Coniferus",7.78685
"11",11,5070.7,4201,28,2,"Coniferus",7.502825
"12",12,5095.9,4205,29,3,"Urban",7.85655
"13",13,5120,4212.3,30,2,"Coniferus",7.413325
"14",14,5141.5,4218.1,31,1,"Urban",8.23035
"15",15,5168.2,4226.3,32,2,"Coniferus",7.12035
"16",16,5192.4,4232.3,33,1,"Coniferus",6.2943
"17",17,4850.4,4155,35,1,"Coniferus",5.88295
"18",18,4870.1,4160.2,36,1,"Broadeaved",7.1486
"19",19,4873.5,4161.3,37,1,"Urban",7.1826
"20",20,4865,4174.2,38,1,"Open",6.69285
"21",21,4871.2,4177.8,39,1,"Open",6.91695
"22",22,4992.1,4207.4,44,1,"Urban",8.53585
"23",23,5014.5,4213.7,45,1,"Urban",8.11335
"24",24,5040.8,4220.4,46,1,"Coniferus",7.11865
"25",25,5064.8,4224.4,47,1,"Coniferus",7.34235
"26",26,5113.4,4238.5,49,1,"Coniferus",7.36865
"27",27,5137.5,4244.4,50,1,"Urban",6.97515
"28",28,5161.9,4250.5,51,1,"Broadeaved",6.831
"29",29,5186.1,4256.6,52,1,"Coniferus",8.16735
"30",30,5210.4,4262.6,53,1,"Broadeaved",6.872
"31",31,5233.9,4267.1,54,1,"Broadeaved",6.89215
"32",32,5259,4274.6,55,1,"Coniferus",6.5422
"33",33,4986,4232.5,60,1,"Coniferus",7.05635
"34",34,5010.2,4238.5,61,1,"Coniferus",6.9815
"35",35,5156,4275.4,67,1,"Urban",6.8365
"36",36,5179.1,4280.7,68,1,"Broadeaved",7.00565
"37",37,5202.5,4284.7,69,1,"Urban",7.215
