"route","hab","apr_may","year","y"
"1",1,"Op",7.9115,2008,36
"2",2,"Co",7.476,2007,33
"3",2,"Co",6.69135,2006,34
"4",3,"Urb",6.48425,2006,64
"5",3,"Urb",7.83485,2008,38
"6",4,"Co",7.1499,2007,39
"7",5,"Urb",5.93615,2006,14
"8",5,"Urb",6.90865,2007,25
"9",5,"Urb",7.39365,2008,15
"10",6,"Urb",7.10005,2008,19
"11",7,"Co",7.5569,2008,31
"12",8,"Co",7.64285,2008,34
"13",9,"Co",8.20115,2008,27
"14",10,"Co",7.78685,2007,14
"15",11,"Co",8.15665,2008,32
"16",11,"Co",6.849,2006,24
"17",12,"Urb",7.12785,2006,18
"18",12,"Urb",8.41165,2008,11
"19",12,"Urb",8.03015,2007,24
"20",13,"Co",6.8825,2006,19
"21",13,"Co",7.94415,2007,60
"22",14,"Urb",8.23035,2007,18
"23",15,"Co",6.43355,2006,35
"24",15,"Co",7.80715,2008,20
"25",16,"Co",6.2943,2006,90
"26",17,"Co",5.88295,2008,21
"27",18,"Br",7.1486,2008,14
"28",19,"Urb",7.1826,2008,18
"29",20,"Op",6.69285,2008,22
"30",21,"Op",6.91695,2008,21
"31",22,"Urb",8.53585,2008,5
"32",23,"Urb",8.11335,2008,18
"33",24,"Co",7.11865,2006,53
"34",25,"Co",7.34235,2007,61
"35",26,"Co",7.36865,2007,30
"36",27,"Urb",6.97515,2006,30
"37",28,"Br",6.831,2006,22
"38",29,"Co",8.16735,2008,54
"39",30,"Br",6.872,2006,57
"40",31,"Br",6.89215,2006,65
"41",32,"Co",6.5422,2006,50
"42",33,"Co",7.05635,2006,46
"43",34,"Co",6.9815,2006,35
"44",35,"Urb",6.8365,2006,30
"45",36,"Br",7.00565,2006,47
"46",37,"Urb",7.215,2006,24
"47",38,"Urb",7.97385,2008,27
"48",39,"Urb",7.4197,2008,19
"49",40,"Urb",7.38065,2007,25
"50",41,"Co",7.7758,2008,39
"51",42,"Br",7.4118,2008,40
"52",43,"Urb",7.72065,2008,41
"53",44,"Co",7.78235,2007,42
"54",44,"Co",7.19315,2006,39
"55",45,"Co",7.38965,2006,44
"56",46,"Co",7.253,2006,70
"57",47,"Co",6.4023,2006,41
"58",47,"Co",7.2368,2008,21
"59",48,"Op",7.8105,2008,46
"60",48,"Op",7.11865,2006,40
"61",48,"Op",7.506,2007,46
"62",49,"Co",7.77615,2008,41
"63",50,"Co",7.20635,2007,40
"64",50,"Co",7.5211,2008,34
"65",50,"Co",6.72165,2006,72
"66",51,"Br",7.13215,2008,20
"67",52,"Urb",6.626,2008,19
"68",52,"Urb",6.64115,2006,35
"69",53,"Co",7.30805,2008,53
"70",54,"Co",6.5258,2008,66
"71",55,"Br",6.61675,2008,38
"72",56,"Co",6.2272,2008,39
"73",57,"Co",6.27465,2008,84
"74",57,"Co",6.3984,2007,103
"75",58,"Br",6.18695,2006,53
"76",58,"Br",6.55175,2008,32
"77",59,"Co",6.1926,2007,90
"78",59,"Co",5.9108,2006,76
"79",59,"Co",6.0614,2008,56
"80",60,"Urb",6.1921,2008,17
"81",61,"Urb",6.26215,2007,57
"82",61,"Urb",6.2189,2008,38
"83",62,"Co",6.3074,2008,50
"84",62,"Co",6.4182,2007,59
"85",62,"Co",6.11195,2006,60
"86",63,"Br",5.9465,2008,50
"87",64,"Urb",5.8544,2008,32
"88",64,"Urb",6.21255,2006,36
"89",65,"Br",5.3393,2008,27
"90",66,"Br",5.0785,2008,33
"91",66,"Br",5.73385,2006,41
"92",67,"Co",5.1037,2008,30
"93",68,"Br",6.3545,2008,43
"94",68,"Br",6.26305,2007,52
"95",69,"Co",5.46505,2008,24
"96",70,"Co",5.35485,2008,20
"97",71,"Op",6.22865,2006,47
"98",71,"Op",5.61585,2008,33
